city_development_index,gender,relevent_experience,enrolled_university,education_level,experience,company_type,last_new_job,training_hours,target,company_size_grouped
0.855,Male,Has relevent experience,Part time course,Graduate,6.0,Unknown,1,90,0.0,Unknown
0.939,Male,Has relevent experience,no_enrollment,Graduate,6.0,Pvt Ltd,3,25,0.0,Medium
0.8270000000000001,Unknown,Has relevent experience,Unknown,Masters,13.0,Unknown,1,15,0.0,Small
0.887,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,>4,48,0.0,Medium
0.55,Unknown,No relevent experience,Full time course,High School,3.0,Unknown,never,98,0.0,Unknown
0.865,Male,Has relevent experience,no_enrollment,Graduate,10.0,Pvt Ltd,2,142,1.0,Medium
0.855,Other,No relevent experience,no_enrollment,Masters,4.0,Pvt Ltd,4,13,0.0,Large
0.91,Male,Has relevent experience,no_enrollment,Graduate,15.0,Unknown,>4,47,0.0,Unknown
0.91,Female,Has relevent experience,no_enrollment,Masters,14.0,Public Sector,1,28,0.0,Large
0.698,Unknown,No relevent experience,Unknown,Unknown,2.0,Pvt Ltd,never,228,1.0,Unknown
0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,21.0,Unknown,4,22,0.0,Unknown
0.624,Male,No relevent experience,Full time course,Graduate,0.0,Unknown,never,18,1.0,Unknown
0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,2.0,Pvt Ltd,1,29,0.0,Small
0.855,Male,Has relevent experience,no_enrollment,Masters,5.0,Unknown,1,46,0.0,Medium
0.55,Unknown,No relevent experience,Full time course,Graduate,0.0,Unknown,never,12,0.0,Unknown
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,2,17,0.0,Medium
0.893,Male,Has relevent experience,no_enrollment,Masters,5.0,Pvt Ltd,2,65,0.0,Medium
0.92,Male,No relevent experience,no_enrollment,Graduate,3.0,Pvt Ltd,1,35,0.0,Medium
0.855,Male,No relevent experience,Full time course,Graduate,9.0,Pvt Ltd,3,14,0.0,Large
0.92,Female,Has relevent experience,no_enrollment,Masters,2.0,Early Stage Startup,1,4,0.0,Small
0.92,Male,Has relevent experience,no_enrollment,Graduate,15.0,Pvt Ltd,>4,12,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,2,108,0.0,Medium
0.92,Male,No relevent experience,no_enrollment,Graduate,21.0,Unknown,1,136,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,5.0,Unknown,1,27,0.0,Small
0.7959999999999999,Unknown,Has relevent experience,Part time course,Masters,4.0,Funded Startup,1,74,0.0,Medium
0.884,Male,Has relevent experience,no_enrollment,Graduate,15.0,Early Stage Startup,1,86,0.0,Small
0.866,Female,No relevent experience,Part time course,Graduate,0.0,Pvt Ltd,2,83,0.0,Small
0.92,Unknown,No relevent experience,Full time course,High School,4.0,Unknown,3,75,0.0,Unknown
0.698,Male,No relevent experience,Full time course,Masters,11.0,Public Sector,2,42,0.0,Unknown
0.92,Female,Has relevent experience,no_enrollment,Graduate,6.0,Unknown,1,332,0.0,Medium
0.913,Male,No relevent experience,Full time course,Graduate,4.0,Unknown,never,140,0.0,Unknown
0.91,Male,No relevent experience,no_enrollment,High School,3.0,Unknown,never,182,0.0,Unknown
0.92,Female,No relevent experience,no_enrollment,Graduate,3.0,Pvt Ltd,1,13,1.0,Medium
0.682,Unknown,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,2,172,1.0,Small
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,10.0,NGO,1,48,0.0,Medium
0.802,Male,Has relevent experience,Full time course,Graduate,9.0,Pvt Ltd,1,33,0.0,Medium
0.92,Unknown,No relevent experience,Full time course,High School,2.0,Pvt Ltd,1,142,0.0,Medium
0.579,Unknown,No relevent experience,Full time course,Graduate,2.0,Pvt Ltd,1,34,0.0,Medium
0.802,Male,Has relevent experience,no_enrollment,Graduate,6.0,Pvt Ltd,2,14,1.0,Medium
0.55,Male,Has relevent experience,no_enrollment,Graduate,6.0,Pvt Ltd,2,27,1.0,Small
0.55,Male,Has relevent experience,no_enrollment,Graduate,8.0,Pvt Ltd,1,24,1.0,Medium
0.878,Unknown,No relevent experience,no_enrollment,Masters,21.0,Unknown,1,150,0.0,Unknown
0.92,Female,Has relevent experience,no_enrollment,Graduate,11.0,NGO,>4,20,0.0,Large
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,5.0,Unknown,1,140,0.0,Large
0.91,Male,Has relevent experience,no_enrollment,Graduate,12.0,Pvt Ltd,1,52,0.0,Large
0.939,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,2,160,0.0,Medium
0.897,Male,Has relevent experience,no_enrollment,Masters,9.0,Pvt Ltd,2,3,0.0,Large
0.624,Male,Has relevent experience,no_enrollment,Graduate,2.0,Pvt Ltd,2,2,1.0,Small
0.91,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,28,0.0,Large
0.754,Male,Has relevent experience,no_enrollment,Graduate,21.0,Unknown,4,46,0.0,Unknown
0.855,Male,Has relevent experience,no_enrollment,Graduate,8.0,Pvt Ltd,1,210,0.0,Medium
0.926,Male,Has relevent experience,no_enrollment,Graduate,10.0,Pvt Ltd,1,36,0.0,Small
0.949,Male,No relevent experience,Full time course,Graduate,4.0,Unknown,1,160,1.0,Unknown
0.624,Male,Has relevent experience,Full time course,Graduate,2.0,NGO,2,101,0.0,Small
0.926,Male,Has relevent experience,no_enrollment,Masters,6.0,Unknown,1,46,0.0,Medium
0.925,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,19,0.0,Large
0.624,Male,Has relevent experience,no_enrollment,Graduate,3.0,Pvt Ltd,2,26,1.0,Medium
0.698,Unknown,Has relevent experience,Full time course,Graduate,7.0,NGO,1,90,0.0,Small
0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,9.0,Pvt Ltd,4,59,0.0,Small
0.92,Male,Has relevent experience,Part time course,Graduate,10.0,Funded Startup,1,260,0.0,Medium
0.624,Female,Has relevent experience,no_enrollment,Graduate,11.0,Pvt Ltd,>4,74,0.0,Medium
0.91,Male,Has relevent experience,no_enrollment,Phd,21.0,Pvt Ltd,2,20,1.0,Medium
0.878,Male,Has relevent experience,no_enrollment,Graduate,12.0,Pvt Ltd,2,8,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,6.0,Pvt Ltd,1,131,0.0,Medium
0.836,Male,Has relevent experience,Full time course,Masters,7.0,Unknown,1,45,0.0,Unknown
0.693,Male,Has relevent experience,Full time course,Graduate,11.0,Pvt Ltd,2,109,0.0,Small
0.855,Male,Has relevent experience,no_enrollment,Graduate,3.0,Pvt Ltd,1,70,0.0,Medium
0.92,Female,Has relevent experience,no_enrollment,Graduate,21.0,NGO,>4,17,0.0,Medium
0.92,Female,No relevent experience,no_enrollment,Masters,15.0,Pvt Ltd,1,51,0.0,Medium
0.92,Female,Has relevent experience,no_enrollment,Graduate,6.0,Pvt Ltd,3,60,1.0,Medium
0.893,Unknown,No relevent experience,no_enrollment,Phd,21.0,Public Sector,>4,4,0.0,Large
0.926,Male,No relevent experience,no_enrollment,Graduate,12.0,Pvt Ltd,>4,7,0.0,Medium
0.804,Unknown,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,3,164,0.0,Medium
0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,20.0,Unknown,4,290,0.0,Unknown
0.804,Male,No relevent experience,no_enrollment,High School,2.0,NGO,never,145,0.0,Small
0.92,Unknown,No relevent experience,no_enrollment,Phd,9.0,Unknown,never,70,0.0,Unknown
0.624,Male,No relevent experience,no_enrollment,Unknown,3.0,Unknown,1,24,0.0,Unknown
0.92,Male,No relevent experience,no_enrollment,Masters,3.0,Pvt Ltd,1,133,1.0,Large
0.55,Unknown,No relevent experience,Full time course,Graduate,2.0,Unknown,1,20,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,10.0,Funded Startup,1,76,0.0,Small
0.698,Female,No relevent experience,Full time course,Masters,5.0,Unknown,4,21,1.0,Unknown
0.624,Female,Has relevent experience,no_enrollment,Graduate,8.0,Pvt Ltd,2,34,0.0,Large
0.92,Male,No relevent experience,no_enrollment,Graduate,9.0,Pvt Ltd,2,15,0.0,Small
0.866,Male,No relevent experience,no_enrollment,Graduate,21.0,Unknown,>4,156,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,15,0.0,Large
0.926,Unknown,Has relevent experience,no_enrollment,Masters,21.0,Unknown,never,120,0.0,Unknown
0.769,Unknown,Has relevent experience,no_enrollment,Graduate,14.0,Unknown,>4,47,0.0,Large
0.754,Male,Has relevent experience,no_enrollment,Graduate,12.0,Unknown,2,100,1.0,Unknown
0.855,Male,Has relevent experience,Part time course,Graduate,6.0,Pvt Ltd,never,102,0.0,Large
0.92,Male,No relevent experience,no_enrollment,High School,4.0,Unknown,never,52,0.0,Unknown
0.926,Unknown,Has relevent experience,no_enrollment,High School,9.0,Unknown,4,39,0.0,Small
0.92,Male,Has relevent experience,Full time course,High School,4.0,Unknown,1,112,1.0,Unknown
0.92,Male,No relevent experience,no_enrollment,Phd,21.0,Pvt Ltd,>4,14,0.0,Medium
0.91,Unknown,Has relevent experience,no_enrollment,Unknown,11.0,Unknown,1,4,0.0,Unknown
0.91,Unknown,Has relevent experience,no_enrollment,Masters,21.0,NGO,>4,55,0.0,Large
0.624,Male,Has relevent experience,no_enrollment,Graduate,6.0,Pvt Ltd,4,49,1.0,Large
0.91,Male,Has relevent experience,no_enrollment,Graduate,15.0,Unknown,>4,72,0.0,Unknown
0.925,Male,Has relevent experience,Full time course,Graduate,14.0,Pvt Ltd,3,141,1.0,Large
0.926,Male,No relevent experience,no_enrollment,High School,6.0,Pvt Ltd,never,28,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,13.0,Pvt Ltd,1,6,0.0,Large
0.92,Male,Has relevent experience,no_enrollment,Graduate,17.0,Pvt Ltd,1,125,0.0,Large
0.939,Unknown,Has relevent experience,no_enrollment,Graduate,21.0,Unknown,never,326,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,2,33,0.0,Medium
0.804,Unknown,No relevent experience,no_enrollment,Masters,6.0,Pvt Ltd,>4,40,0.0,Large
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,18.0,Unknown,1,198,1.0,Unknown
0.92,Female,Has relevent experience,no_enrollment,Masters,15.0,Pvt Ltd,>4,55,0.0,Large
0.698,Male,No relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,32,0.0,Large
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,11,0.0,Medium
0.754,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,1,41,0.0,Small
0.92,Male,Has relevent experience,no_enrollment,Masters,21.0,Public Sector,>4,87,1.0,Large
0.855,Male,Has relevent experience,no_enrollment,Masters,10.0,Pvt Ltd,4,114,0.0,Medium
0.698,Unknown,Has relevent experience,Unknown,Unknown,21.0,Unknown,>4,33,0.0,Unknown
0.698,Male,Has relevent experience,Part time course,Masters,5.0,Early Stage Startup,1,15,0.0,Small
0.91,Unknown,No relevent experience,Full time course,High School,3.0,Unknown,1,8,0.0,Unknown
0.878,Female,Has relevent experience,Part time course,High School,2.0,NGO,1,22,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,4,13,0.0,Large
0.949,Male,Has relevent experience,no_enrollment,Graduate,21.0,Public Sector,1,246,0.0,Small
0.92,Male,Has relevent experience,no_enrollment,Masters,9.0,Pvt Ltd,1,22,0.0,Small
0.92,Male,Has relevent experience,no_enrollment,Masters,21.0,Funded Startup,1,81,0.0,Small
0.7759999999999999,Unknown,Has relevent experience,Full time course,Graduate,4.0,Funded Startup,1,11,0.0,Small
0.698,Male,No relevent experience,Full time course,Graduate,5.0,Unknown,never,24,1.0,Large
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Funded Startup,1,50,0.0,Medium
0.924,Male,No relevent experience,Full time course,High School,6.0,Unknown,never,15,0.0,Unknown
0.939,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,>4,31,0.0,Small
0.926,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,never,84,0.0,Medium
0.897,Male,Has relevent experience,Part time course,Graduate,4.0,Pvt Ltd,1,42,0.0,Large
0.624,Unknown,Has relevent experience,no_enrollment,Graduate,10.0,Pvt Ltd,>4,105,1.0,Small
0.92,Female,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,72,0.0,Medium
0.789,Male,Has relevent experience,no_enrollment,Graduate,14.0,Pvt Ltd,>4,42,1.0,Small
0.698,Male,Has relevent experience,no_enrollment,Graduate,15.0,Early Stage Startup,1,152,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,12.0,Pvt Ltd,1,60,0.0,Large
0.624,Male,No relevent experience,Full time course,Masters,2.0,Unknown,never,8,0.0,Unknown
0.91,Male,No relevent experience,Full time course,Masters,13.0,Unknown,3,17,1.0,Unknown
0.923,Male,No relevent experience,no_enrollment,High School,1.0,Unknown,1,33,0.0,Unknown
0.91,Male,Has relevent experience,no_enrollment,Masters,4.0,Funded Startup,never,38,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,14.0,Early Stage Startup,2,178,0.0,Small
0.92,Male,Has relevent experience,no_enrollment,Graduate,15.0,Pvt Ltd,1,11,0.0,Medium
0.893,Male,Has relevent experience,no_enrollment,High School,21.0,Unknown,never,87,0.0,Unknown
0.802,Male,Has relevent experience,no_enrollment,Graduate,13.0,Unknown,never,84,0.0,Unknown
0.884,Male,Has relevent experience,no_enrollment,Graduate,21.0,Early Stage Startup,2,32,0.0,Medium
0.887,Unknown,Has relevent experience,no_enrollment,Masters,9.0,Pvt Ltd,1,31,1.0,Medium
0.624,Male,No relevent experience,no_enrollment,Graduate,2.0,Public Sector,1,39,0.0,Large
0.775,Unknown,Has relevent experience,no_enrollment,Graduate,7.0,Pvt Ltd,1,12,0.0,Small
0.624,Unknown,Has relevent experience,Full time course,Graduate,5.0,Pvt Ltd,1,50,0.0,Large
0.903,Male,Has relevent experience,no_enrollment,Graduate,3.0,Pvt Ltd,1,55,1.0,Medium
0.55,Unknown,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,never,7,1.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Masters,2.0,Early Stage Startup,1,104,0.0,Medium
0.92,Unknown,Has relevent experience,Full time course,Graduate,21.0,Unknown,>4,90,1.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,>4,8,0.0,Medium
0.624,Male,No relevent experience,Full time course,Graduate,2.0,Unknown,never,102,0.0,Unknown
0.624,Unknown,Has relevent experience,no_enrollment,Masters,0.0,Pvt Ltd,1,202,1.0,Small
0.555,Unknown,Has relevent experience,no_enrollment,Graduate,4.0,Pvt Ltd,1,22,0.0,Medium
0.624,Male,No relevent experience,Full time course,Graduate,3.0,Pvt Ltd,never,42,0.0,Unknown
0.92,Unknown,No relevent experience,no_enrollment,Primary School,4.0,Pvt Ltd,never,50,0.0,Unknown
0.624,Male,Has relevent experience,no_enrollment,Masters,3.0,Funded Startup,1,88,0.0,Medium
0.754,Unknown,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,4,81,0.0,Large
0.92,Male,Has relevent experience,no_enrollment,Masters,21.0,Pvt Ltd,1,7,0.0,Large
0.624,Male,No relevent experience,no_enrollment,Unknown,3.0,Pvt Ltd,never,218,0.0,Unknown
0.91,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,62,0.0,Large
0.92,Male,Has relevent experience,no_enrollment,Graduate,6.0,Pvt Ltd,1,83,0.0,Medium
0.939,Male,Has relevent experience,no_enrollment,Graduate,9.0,Pvt Ltd,>4,11,0.0,Large
0.926,Male,No relevent experience,Part time course,Phd,21.0,Unknown,>4,10,0.0,Medium
0.939,Male,Has relevent experience,no_enrollment,Masters,10.0,Pvt Ltd,1,114,0.0,Large
0.624,Unknown,Has relevent experience,no_enrollment,Masters,3.0,Pvt Ltd,1,36,0.0,Medium
0.804,Unknown,No relevent experience,Unknown,Masters,6.0,Pvt Ltd,1,17,0.0,Small
0.91,Male,No relevent experience,Full time course,Graduate,2.0,Unknown,never,80,1.0,Unknown
0.92,Male,Has relevent experience,Part time course,Graduate,21.0,Public Sector,>4,108,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,2.0,Pvt Ltd,2,45,0.0,Medium
0.92,Male,No relevent experience,Full time course,Graduate,5.0,Unknown,never,77,0.0,Unknown
0.926,Male,Has relevent experience,no_enrollment,Masters,15.0,Pvt Ltd,2,8,0.0,Medium
0.878,Unknown,No relevent experience,no_enrollment,Graduate,5.0,Unknown,1,28,0.0,Unknown
0.727,Female,Has relevent experience,no_enrollment,Graduate,9.0,Funded Startup,>4,37,0.0,Medium
0.91,Unknown,No relevent experience,Full time course,Graduate,2.0,Unknown,2,108,1.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,13.0,Pvt Ltd,2,162,0.0,Large
0.754,Unknown,Has relevent experience,Full time course,High School,9.0,Unknown,>4,41,0.0,Unknown
0.903,Male,Has relevent experience,no_enrollment,Masters,19.0,Pvt Ltd,4,4,0.0,Medium
0.884,Female,No relevent experience,no_enrollment,Phd,3.0,Public Sector,1,41,0.0,Large
0.903,Unknown,Has relevent experience,no_enrollment,Graduate,17.0,Pvt Ltd,2,12,0.0,Large
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,1,190,0.0,Medium
0.624,Unknown,Has relevent experience,no_enrollment,Graduate,7.0,Pvt Ltd,>4,29,1.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,6.0,Public Sector,1,11,0.0,Medium
0.92,Male,No relevent experience,Full time course,High School,3.0,Pvt Ltd,1,30,0.0,Large
0.92,Male,Has relevent experience,no_enrollment,Masters,13.0,Unknown,>4,39,0.0,Medium
0.804,Male,Has relevent experience,Full time course,High School,9.0,Unknown,1,16,0.0,Unknown
0.926,Male,No relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,5,0.0,Medium
0.698,Male,No relevent experience,Full time course,High School,8.0,Unknown,never,39,0.0,Unknown
0.926,Male,Has relevent experience,no_enrollment,Masters,10.0,Pvt Ltd,>4,29,0.0,Medium
0.624,Unknown,Has relevent experience,Full time course,Masters,4.0,NGO,2,210,0.0,Medium
0.92,Other,No relevent experience,Part time course,High School,6.0,Funded Startup,1,54,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,9.0,Pvt Ltd,3,44,0.0,Medium
0.91,Male,Has relevent experience,no_enrollment,Graduate,15.0,Unknown,>4,47,0.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,21.0,NGO,>4,74,0.0,Large
0.624,Male,Has relevent experience,no_enrollment,Masters,6.0,Pvt Ltd,1,8,1.0,Small
0.624,Unknown,No relevent experience,Full time course,Graduate,7.0,Unknown,never,20,1.0,Unknown
0.92,Male,Has relevent experience,no_enrollment,Graduate,3.0,Pvt Ltd,1,162,0.0,Large
0.893,Unknown,No relevent experience,no_enrollment,Graduate,2.0,Pvt Ltd,1,110,0.0,Medium
0.762,Other,Has relevent experience,Part time course,High School,3.0,Pvt Ltd,1,262,0.0,Small
0.836,Male,Has relevent experience,no_enrollment,Masters,14.0,Unknown,1,6,0.0,Unknown
0.6659999999999999,Male,Has relevent experience,Part time course,Graduate,9.0,Pvt Ltd,1,19,1.0,Small
0.6659999999999999,Other,No relevent experience,no_enrollment,Graduate,21.0,Pvt Ltd,>4,23,1.0,Medium
0.624,Male,No relevent experience,Unknown,Graduate,0.0,Unknown,1,107,1.0,Unknown
0.897,Male,Has relevent experience,no_enrollment,Masters,15.0,Unknown,>4,134,0.0,Large
0.926,Male,Has relevent experience,no_enrollment,Masters,11.0,Early Stage Startup,1,40,0.0,Small
0.884,Male,Has relevent experience,no_enrollment,Graduate,12.0,Pvt Ltd,1,11,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,11.0,Unknown,3,102,0.0,Unknown
0.624,Male,No relevent experience,Full time course,Graduate,2.0,Unknown,never,100,0.0,Unknown
0.923,Male,No relevent experience,no_enrollment,Masters,3.0,Pvt Ltd,never,30,0.0,Large
0.92,Unknown,No relevent experience,no_enrollment,High School,5.0,Unknown,1,20,1.0,Unknown
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,14.0,Pvt Ltd,3,4,0.0,Large
0.91,Unknown,No relevent experience,no_enrollment,Primary School,5.0,Unknown,never,15,0.0,Unknown
0.624,Male,No relevent experience,no_enrollment,Graduate,0.0,Unknown,1,14,1.0,Unknown
0.923,Male,No relevent experience,no_enrollment,Primary School,1.0,Pvt Ltd,never,103,0.0,Unknown
0.92,Male,Has relevent experience,Part time course,Graduate,5.0,Public Sector,2,40,0.0,Large
0.91,Male,Has relevent experience,no_enrollment,Phd,21.0,Pvt Ltd,2,27,0.0,Medium
0.926,Male,No relevent experience,no_enrollment,High School,10.0,Pvt Ltd,>4,46,0.0,Medium
0.926,Male,Has relevent experience,no_enrollment,High School,7.0,Pvt Ltd,>4,110,0.0,Medium
0.92,Male,Has relevent experience,no_enrollment,Graduate,13.0,Funded Startup,1,96,0.0,Medium
0.92,Unknown,Has relevent experience,no_enrollment,Graduate,5.0,Pvt Ltd,2,57,0.0,Large
